PP,lon,lat
274.3253897,-1.5,61.5
274.4034336,-1.5,62.5
258.3988225,-1.5,63.5
232.6886395,-1.5,64.5
205.316404,-1.5,65.5
196.7953832,-1.5,66.5
175.7302505,-1.5,67.5
171.2109234,-1.5,68.5
156.804335,-1.5,69.5
152.1176328,-1.5,70.5
137.6994688,-1.5,71.5
112.4078656,-1.5,72.5
113.4344551,-1.5,73.5
123.1229019,-1.5,74.5
139.1403094,-1.5,75.5
142.3820843,-1.5,76.5
134.3324379,-1.5,77.5
95.34442471,-1.5,78.5
15.00025704,-1.5,79.5
17.41987647,-1.5,80.5
16.36843191,-1.5,81.5
234.0578387,-10.5,-0.5
233.2558551,-10.5,-1.5
104.1086644,-10.5,-10.5
98.90989825,-10.5,-11.5
97.83891483,-10.5,-12.5
101.8135878,-10.5,-13.5
107.8151464,-10.5,-14.5
112.3443217,-10.5,-15.5
113.7299886,-10.5,-16.5
109.3879097,-10.5,-17.5
103.3194896,-10.5,-18.5
96.97933011,-10.5,-19.5
208.7417333,-10.5,-2.5
91.27840983,-10.5,-20.5
83.50963441,-10.5,-21.5
78.0441796,-10.5,-22.5
76.38201975,-10.5,-23.5
75.65143183,-10.5,-24.5
76.04874518,-10.5,-25.5
77.77309485,-10.5,-26.5
80.38847496,-10.5,-27.5
84.18814462,-10.5,-28.5
88.55900049,-10.5,-29.5
200.3605617,-10.5,-3.5
94.27686629,-10.5,-30.5
99.42743885,-10.5,-31.5
105.8625502,-10.5,-32.5
115.3211377,-10.5,-33.5
128.5565115,-10.5,-34.5
143.020123,-10.5,-35.5
176.2456149,-10.5,-36.5
221.58691,-10.5,-37.5
247.4264057,-10.5,-38.5
244.2315018,-10.5,-39.5
188.4475297,-10.5,-4.5
241.7398147,-10.5,-40.5
207.9007222,-10.5,-41.5
186.9038077,-10.5,-42.5
169.1097413,-10.5,-43.5
151.2199345,-10.5,-44.5
122.0428337,-10.5,-45.5
104.1330535,-10.5,-46.5
93.92580778,-10.5,-47.5
91.41646459,-10.5,-48.5
92.17866206,-10.5,-49.5
167.7859358,-10.5,-5.5
91.39962343,-10.5,-50.5
78.04368,-10.5,-51.5
62.60462822,-10.5,-52.5
48.45506629,-10.5,-53.5
43.87463767,-10.5,-54.5
41.4095333,-10.5,-55.5
39.33391487,-10.5,-56.5
39.99433335,-10.5,-57.5
39.16951345,-10.5,-58.5
28.6215458,-10.5,-59.5
147.6425386,-10.5,-6.5
24.47245839,-10.5,-60.5
25.85183519,-10.5,-61.5
28.32093737,-10.5,-62.5
27.83083604,-10.5,-63.5
26.58073969,-10.5,-64.5
24.4973937,-10.5,-65.5
21.3513103,-10.5,-66.5
20.43233934,-10.5,-67.5
22.6532003,-10.5,-68.5
24.78587672,-10.5,-69.5
137.4462359,-10.5,-7.5
33.53976915,-10.5,-70.5
127.1863232,-10.5,-8.5
114.366382,-10.5,-9.5
184.8279383,-10.5,0.5
139.1149945,-10.5,1.5
122.5394818,-10.5,2.5
704.5426602,-10.5,29.5
